Date,1_to_2,2_to_1,2_to_3,3_to_2,3_to_4,4_to_3,4_to_5,5_to_4,5_to_8,5_to_30,6_to_7,6_to_30,7_to_6,7_to_8,7_to_11,8_to_5,8_to_7,8_to_9,8_to_12,9_to_8,9_to_10,10_to_9,10_to_11,11_to_7,11_to_10,11_to_24,12_to_8,12_to_13,12_to_14,13_to_12,13_to_14,13_to_16,14_to_12,14_to_13,14_to_16,14_to_17,15_to_17,16_to_13,16_to_14,16_to_19,17_to_14,17_to_15,17_to_18,18_to_17,18_to_19,18_to_20,19_to_16,19_to_18,19_to_20,20_to_18,20_to_19,20_to_22,21_to_22,21_to_27,22_to_20,22_to_21,22_to_23,22_to_24,23_to_22,24_to_11,24_to_22,24_to_25,25_to_24,26_to_27,26_to_28,27_to_21,27_to_26,27_to_30,28_to_26,28_to_29,28_to_31,29_to_28,30_to_5,30_to_6,30_to_27,30_to_31,31_to_28,31_to_30,31_to_32,32_to_31,32_to_33,32_to_34,33_to_32,34_to_32
2022-08-28 08:00:00,0,2,14,15,21,27,19,12,8,10.0,2.0,13.0,8.0,1,3.0,3,5,18,6.0,22,8.0,12.0,11.0,4,25,24,2,12,8,12,4,1.0,4,2,1,5,3,6,5,3,7,9,11,2,5.0,7,1.0,0,1,6,2.0,2.0,6,5,3,4.0,15,7,8,42,2,13,12,3.0,4.0,4,4,8,3,7,4,6,8.0,19,12,28,7.0,34,46,28,1,16,1.0,17
2022-08-28 08:15:00,2,4,19,13,21,18,13,13,4,4.0,5.0,16.0,4.0,6,3.0,2,4,20,1.0,15,9.0,16.0,8.0,5,5,54,1,15,4,13,6,3.0,10,4,7,8,9,3,6,2,7,7,7,4,2.0,4,2.0,4,2,4,5.0,2.0,11,10,4,2.0,14,6,10,29,5,23,18,1.0,5.0,10,4,15,6,9,5,5,3.0,13,11,44,2.0,44,40,44,4,17,2.0,23
2022-08-28 08:30:00,7,5,16,13,23,15,8,10,3,9.0,4.0,31.0,5.0,4,4.0,3,6,14,5.0,28,10.0,6.0,23.0,8,14,77,0,17,5,14,4,3.0,7,2,3,2,7,2,2,5,9,7,14,11,3.0,5,4.0,3,3,9,3.0,7.0,7,7,1,5.0,9,3,15,65,6,23,16,5.0,4.0,4,9,20,7,4,12,8,3.0,21,6,45,7.0,38,45,34,9,23,5.0,20
2022-08-28 08:45:00,5,4,13,10,20,25,19,19,3,8.0,8.0,26.0,9.0,5,6.0,7,6,14,3.0,21,9.0,8.0,11.0,4,37,46,2,11,8,14,4,4.0,8,8,9,4,7,7,6,3,5,6,10,11,4.0,8,4.0,2,7,6,3.0,5.0,6,6,6,11.0,10,8,16,45,8,29,25,12.0,9.0,4,4,23,8,13,10,11,5.0,41,18,81,8.0,55,53,54,7,32,8.0,28
2022-08-28 09:00:00,2,8,11,15,9,23,9,13,7,6.0,8.0,19.0,9.0,3,4.0,7,4,16,3.0,16,9.0,10.0,8.0,4,7,32,2,19,11,17,4,3.0,7,7,8,13,8,8,3,1,5,14,16,8,3.0,11,4.0,2,3,5,6.0,8.0,9,2,6,2.0,15,4,17,51,7,18,19,5.0,6.0,4,10,19,9,13,7,11,6.0,29,17,63,5.0,46,69,60,9,17,10.0,21
2022-08-28 09:15:00,6,2,17,14,20,20,11,15,7,4.0,7.0,25.0,8.0,2,5.0,1,3,18,6.0,32,13.0,12.0,8.0,7,23,33,4,14,6,13,12,8.0,3,2,6,2,17,10,9,2,9,8,16,6,3.0,9,3.0,2,6,6,5.0,8.0,7,8,5,3.0,6,3,14,57,2,18,23,8.0,3.0,11,1,13,8,14,3,8,5.0,21,7,49,6.0,40,53,39,6,14,4.0,17
2022-08-28 09:30:00,5,8,16,13,24,23,8,9,5,13.0,6.0,20.0,6.0,4,6.0,6,5,23,3.0,30,15.0,9.0,6.0,11,35,32,1,21,8,27,5,12.0,9,3,9,8,13,13,12,2,6,12,10,5,5.0,8,1.0,4,4,7,7.0,12.0,7,9,11,4.0,12,6,11,75,6,13,37,4.0,5.0,10,11,17,10,16,8,19,7.0,28,17,52,5.0,68,50,70,4,28,5.0,26
2022-08-28 09:45:00,5,6,21,11,26,29,12,10,8,5.0,5.0,14.0,6.0,1,8.0,5,7,14,10.0,19,13.0,11.0,34.0,9,28,122,5,30,11,33,8,7.0,9,9,12,9,15,11,11,7,8,9,14,11,12.0,9,3.0,3,6,8,2.0,10.0,9,13,10,9.0,20,12,18,67,22,43,24,12.0,6.0,4,7,13,4,17,11,14,5.0,27,19,71,3.0,51,52,54,4,30,4.0,21
2022-08-28 10:00:00,6,11,8,24,28,20,23,9,10,13.0,13.0,23.0,8.0,5,9.0,5,6,15,5.0,20,8.0,19.0,11.0,10,46,42,1,17,10,20,6,10.0,14,11,8,7,11,12,7,3,12,12,17,10,7.0,11,6.0,9,10,7,4.0,14.0,7,14,8,11.0,14,6,17,102,8,19,46,12.0,7.0,6,12,15,8,10,4,9,10.0,36,18,60,7.0,52,63,52,2,25,6.0,25
2022-08-28 10:15:00,9,11,19,17,20,35,17,18,7,15.0,5.0,36.0,10.0,4,6.0,6,10,21,7.0,28,18.0,18.0,4.0,6,1,46,3,20,10,30,10,10.0,11,5,11,8,17,14,12,3,13,17,11,10,12.0,14,4.0,5,6,8,16.0,15.0,10,9,7,7.0,21,9,28,56,19,27,25,11.0,10.0,8,12,7,11,17,5,9,6.0,30,23,66,5.0,54,77,61,5,21,6.0,32
2022-08-28 10:30:00,9,14,26,23,29,24,24,15,11,12.0,17.0,28.0,12.0,3,5.0,3,8,16,5.0,25,8.0,13.0,6.0,9,23,82,3,25,17,21,8,13.0,14,13,12,11,14,19,16,4,19,15,12,12,14.0,12,4.0,7,8,10,6.0,13.0,22,5,8,4.0,15,13,16,78,23,21,31,13.0,8.0,9,19,15,14,16,8,23,8.0,30,12,70,6.0,66,70,63,7,26,3.0,39
2022-08-28 10:45:00,6,4,18,12,18,22,9,11,8,11.0,10.0,23.0,9.0,6,8.0,6,7,26,13.0,18,12.0,13.0,18.0,12,11,90,3,25,13,32,7,21.0,13,10,16,8,16,10,9,5,17,10,24,8,12.0,15,6.0,5,7,6,17.0,34.0,15,8,8,6.0,22,5,32,78,28,29,37,10.0,7.0,9,5,21,6,16,10,23,4.0,29,19,59,6.0,68,52,81,5,25,5.0,38
2022-08-28 11:00:00,10,10,23,17,33,27,26,8,15,9.0,12.0,28.0,7.0,10,7.0,4,10,32,12.0,25,13.0,7.0,20.0,13,50,50,4,20,7,27,10,10.0,14,8,15,7,17,8,17,3,15,15,19,18,11.0,10,5.0,4,6,12,5.0,10.0,16,6,7,13.0,26,12,37,65,26,33,48,11.0,4.0,9,4,19,15,19,8,27,6.0,33,18,78,7.0,85,71,85,4,26,5.0,33
2022-08-28 11:15:00,5,11,22,20,33,33,15,17,12,7.0,13.0,23.0,6.0,12,8.0,6,12,40,8.0,25,19.0,16.0,11.0,15,13,65,5,32,17,31,14,14.0,16,15,21,10,19,22,14,5,21,12,19,9,11.0,15,2.0,4,8,10,8.0,19.0,23,11,11,8.0,25,8,33,55,36,24,33,16.0,10.0,10,8,17,14,18,8,21,5.0,28,18,82,8.0,94,71,86,6,22,8.0,45
2022-08-28 11:30:00,8,6,27,25,30,29,14,19,17,8.0,19.0,22.0,16.0,10,5.0,4,12,35,7.0,28,18.0,13.0,6.0,18,19,41,3,29,12,24,5,7.0,17,11,16,9,24,13,16,10,20,15,20,18,10.0,15,7.0,5,4,11,10.0,17.0,15,7,8,5.0,33,18,40,70,34,36,61,9.0,4.0,9,5,19,18,16,11,25,5.0,27,17,67,10.0,90,73,96,10,21,5.0,37
2022-08-28 11:45:00,11,11,22,21,27,18,15,9,9,9.0,19.0,31.0,12.0,6,6.0,4,10,33,8.0,26,15.0,9.0,34.0,15,18,126,1,20,13,22,16,15.0,19,10,18,20,20,11,5,10,20,23,27,11,22.0,14,6.0,8,13,12,16.0,23.0,12,5,10,9.0,37,14,48,67,27,28,46,14.0,7.0,11,11,14,11,13,7,20,2.0,37,16,83,3.0,80,82,98,9,22,7.0,38
2022-08-28 12:00:00,7,11,21,21,18,25,8,11,5,5.0,11.0,33.0,11.0,5,9.0,7,4,20,8.0,20,17.0,10.0,5.0,14,38,62,4,43,21,33,18,21.0,11,19,16,9,19,10,9,9,20,20,15,12,10.0,8,6.0,4,13,11,8.0,14.0,18,11,12,11.0,42,16,43,79,39,44,46,11.0,7.0,15,7,36,15,13,12,15,6.0,28,27,96,17.0,88,126,98,14,25,7.0,39
2022-08-28 12:15:00,5,6,19,18,30,26,14,9,12,7.0,9.0,19.0,9.0,11,6.0,6,10,25,6.0,27,14.0,11.0,8.0,10,13,46,5,29,25,31,12,16.0,18,14,12,11,18,14,11,6,9,10,21,9,9.0,15,9.0,3,13,12,8.0,19.0,15,8,17,9.0,26,8,34,40,32,30,29,9.0,4.0,16,12,19,15,14,9,25,7.0,11,24,95,6.0,92,86,68,12,34,8.0,35
2022-08-28 12:30:00,8,12,20,25,29,20,11,7,7,6.0,13.0,25.0,12.0,4,8.0,6,9,28,11.0,16,19.0,10.0,4.0,7,17,43,4,23,17,26,11,27.0,15,10,14,17,15,17,14,3,23,14,20,16,3.0,16,3.0,4,6,11,5.0,15.0,10,8,13,6.0,31,11,38,56,31,39,40,11.0,6.0,9,5,14,6,14,7,23,3.0,24,16,69,9.0,64,84,84,12,34,5.0,31
2022-08-28 12:45:00,2,7,15,9,26,22,11,10,7,4.0,10.0,12.0,10.0,10,11.0,8,14,29,5.0,16,21.0,8.0,23.0,9,14,108,8,32,18,31,11,11.0,15,8,20,5,13,16,10,14,17,16,14,9,3.0,11,5.0,4,15,15,4.0,11.0,12,3,9,9.0,43,11,55,68,32,45,38,13.0,4.0,9,11,23,16,12,7,18,7.0,14,16,94,4.0,68,78,56,9,30,8.0,28
